Symbol,marketCap
THYROCARE,340776.95
SAKSOFT,339278.18
TATAMETALI,339173.93
GMRP&UI,338918.33
DISHTV,336949.86
CARTRADE,334374.28
DALMIASUG,333996.03
NILKAMAL,333988.49
SAGCEM,332846.77
DCXINDIA,330117.89
POLYPLEX,330044.65
TRIL,329822.09
SANGHIIND,327815.69
SHALBY,326837.56
VSTTILLERS,326427.29
GRWRHITECH,325694.93
NRBBEARING,325514.55
SUNDARMHLD,324382.69
AUTOAXLES,324227.42
YATHARTH,323955.85
BANARISUG,320608.78
GENSOL,320234.28
BOMDYEING,318063.75
PFOCUS,317958.15
GUFICBIO,317328.17
SBCL,317139.92
BAJAJCON,313241.95
INNOVACAP,309815.77
INOXGREEN,308579.91
SUNCLAY,305858.83
SOMANYCERA,304625.02
MOLDTKPAC,303914.98
JCHAC,303504.65
DIVGIITTS,299942.06
PRAKASH,299424.83
APOLLO,299299.77
SANDHAR,296860.57
GREENPLY,295001.59
SWARAJENG,294303.69
WENDT,293255.00
STYLAMIND,291811.70
CIGNITITEC,291291.90
MPSLTD,290516.63
IFGLEXPOR,288098.26
KINGFA,287817.22
SHILPAMED,286706.67
DREAMFOLKS,286605.05
SEPC,286133.43
IMAGICAA,286007.68
UNICHEMLAB,285776.94
MUKANDLTD,285739.98
VENUSPIPES,284257.17
SEQUENT,283730.60
CARERATING,283319.34
PGIL,282837.41
HERITGFOOD,281450.27
BSHSL,280812.16
TARSONS,280556.72
PARAS,280371.44
MAHLOG,279392.21
JINDALPOLY,277671.54
FIEMIND,276060.33
PSPPROJECT,275940.00
ISMTLTD,275409.52
VENKEYS,274900.26
BBL,273125.77
PARAGMILK,272722.77
DEN,272494.82
ZAGGLE,272092.63
IOLCP,271982.59
ASHIANA,271970.00
PFS,269759.00
ANUP,269593.19
IMFA,269419.83
APOLLOPIPE,269417.88
VPRPL,269168.72
DCAL,268020.70
GANDHAR,267135.68
GOODLUCK,266733.07
OPTIEMUS,266500.72
SEAMECLTD,265920.08
SATIN,265351.26
APCOTEXIND,264253.76
GIPCL,263479.57
LUMAXTECH,262747.95
DOLLAR,262141.91
BARBEQUE,261050.05
UNIPARTS,260850.55
VINDHYATEL,259433.17
MBAPL,259069.05
GOCLCORP,257033.36
DIAMONDYD,255774.83
CONFIPET,255263.16
STYRENIX,253874.88
SUPRIYA,253319.61
EVEREADY,251606.95
GLOBUSSPR,251563.21
BEPL,250849.33
UGROCAP,249557.12
MOREPENLAB,248172.41
MAYURUNIQ,247694.88
HMT,247428.24
MUFIN,247330.09
TIDEWATER,246401.50
IKIO,246023.11
REPCOHOME,245490.78
AXISCADES,245144.03
FOSECOIND,244764.23
ARTEMISMED,244752.69
SOTL,243268.01
ANDHRAPAP,242537.58
SIYSIL,242525.81
HONDAPOWER,242475.18
HINDOILEXP,240974.07
INDIAGLYCO,237768.84
TCNSBRANDS,237357.00
PRECAM,236799.69
EMSLIMITED,235672.74
SKIPPER,234652.77
DHANI,234054.54
MMFL,233598.45
VISHNU,233538.92
ALEMBICLTD,232387.55
LUMAXIND,231800.38
KRSNAA,227965.73
CAMLINFINE,227403.63
YATRA,226900.82
MANORAMA,226184.35
PITTIENG,226145.27
TIRUMALCHM,224793.12
UDS,224754.71
SIRCA,224633.87
SESHAPAPER,223355.82
BFUTILITIE,222804.02
RISHABH,221257.78
IRMENERGY,220962.65
RPGLIFE,220936.43
CARYSIL,220453.76
SDBL,220439.93
ADFFOODS,219891.99
ORIENTHOT,218158.90
FILATEX,218154.98
PCJEWELLER,217343.62
63MOONS,217237.26
FINOPB,217147.72
EVERESTIND,217072.18
RPSGVENT,216761.30
HUHTAMAKI,216672.43
PRECWIRE,215193.53
GTPL,214916.87
ASTEC,214769.83
XPROINDIA,214515.74
SADHNANIQ,214076.15
GANECOS,214026.32
GREENPOWER,213797.83
JINDRILL,213561.76
RUPA,213483.68
SANGAMIND,213472.51
ARMANFIN,212349.41
ATFL,212171.00
HIL,212170.73
MTNL,211995.00
KSL,211520.90
ACCELYA,211303.61
SASKEN,210915.38
BHARATWIRE,210127.64
SHRIRAMPPS,208054.92
INDOSTAR,207965.32
SALASAR,207576.22
VIDHIING,207471.53
TNPL,207181.93
PARACABLES,206411.94
KIRIINDUS,206403.83
TCPLPACK,205905.70
ADORWELD,205704.01
MANGLMCEM,205171.09
JAGRAN,203833.23
RIIL,203570.65
SPECTRUM,202809.97
EXPLEOSOL,201593.65
BFINVEST,201333.47
SHK,201333.06
PANAMAPET,200778.25
VAKRANGEE,200777.77
FMGOETZE,200637.28
AEROFLEX,200446.57
TTKHLTCARE,200276.27
INSECTICID,200199.77
VERANDA,198596.96
THEJO,198188.10
KCP,198151.82
MOL,197856.46
CANTABIL,196706.86
THEMISMED,196663.19
MARATHON,195917.28
ARVSMART,194728.23
QUICKHEAL,192642.35
SJS,192062.55
SMLISUZU,191336.87
GNA,191084.99
SUBEXLTD,190800.00
DPSCLTD,190375.87
RAMCOIND,188332.26
JASH,188196.66
SHAKTIPUMP,188120.90
MUFTI,187439.98
GEOJITFSL,187009.92
BUTTERFLY,185938.39
YASHO,185829.76
TALBROAUTO,184505.44
CAPACITE,184111.91
RANEHOLDIN,183505.54
GOKULAGRO,183101.31
GOLDIAM,182139.08
VADILALIND,181794.60
NITINSPIN,181731.15
NELCO,181269.37
MADRASFERT,178339.14
VSSL,177740.55
HLVLTD,177670.54
RAMASTEEL,177608.10
ROSSELLIND,176909.56
PIXTRANS,176112.52
SUVEN,176094.53
5PAISA,176037.88
UNITECH,175292.17
PNBGILTS,174789.84
CENTUM,173845.64
AMRUTANJAN,173304.77
HARIOMPIPE,172766.77
MANINDS,171413.91
BCLIND,170983.95
PREMEXPLN,170745.56
WHEELS,169638.40
NDTV,169172.60
DHAMPURSUG,168292.54
PENIND,168277.95
DCW,167943.20
DREDGECORP,167790.00
NSIL,167254.01
SPCENET,166583.16
GTLINFRA,166491.27
SURYODAY,166250.55
UNIVCABLES,165579.35
SICALLOG,165373.79
HIMATSEIDE,165161.89
FAIRCHEMOR,164473.52
DEEPINDS,164096.00
DWARKESH,163633.98
IGARASHI,163324.02
SHANKARA,163075.64
SERVOTECH,162999.51
PUNJABCHEM,161916.02
ACLGATI,161689.65
CONTROLPR,160238.01
COSMOFIRST,160097.08
HPL,160076.06
BHAGCHEM,159708.56
AHL,159313.68
HERANBA,159233.59
ATULAUTO,158765.07
GVKPIL,158651.37
INDRAMEDCO,158090.09
SIGACHI,158016.45
NPST,157924.82
HITECH,157591.40
SPIC,157312.16
AJMERA,156115.71
MVGJL,155725.64
VASCONEQ,155143.29
GENESYS,155068.25
UTTAMSUGAR,154688.21
NIITLTD,154648.10
SHAILY,154183.63
NAVKARCORP,153755.34
GEPIL,152942.50
BAJEL,152855.39
SPAL,152286.99
APTECHT,151076.35
ANDHRSUGAR,151054.19
KUANTUM,150267.97
KRISHANA,150140.17
KITEX,149758.00
CUPID,149438.95
POKARNA,148865.71
KABRAEXTRU,148861.88
STOVEKRAFT,148716.39
DPABHUSHAN,147939.12
MONARCH,147704.97
JSLL,146923.46
OMINFRAL,146670.70
SURAJEST,146657.83
MONTECARLO,146637.89
NACLIND,146627.51
KOKUYOCMLN,146192.80
PENINLAND,145969.51
MANGCHEFER,144292.20
IGPL,144243.08
BLKASHYAP,144168.88
KICL,143782.27
TAJGVK,143429.67
EKC,142559.86
JITFINFRA,142398.53
HARDWYN,141994.76
SYNCOMF,141470.00
BETA,141322.71
EIHAHOTELS,140747.61
ONWARDTEC,140613.56
KSOLVES,140137.92
ALICON,139963.55
AVTNPL,139568.29
SATIA,139150.00
VALIANTORG,138964.46
SUMMITSEC,138921.40
AGARIND,138367.03
NGLFINE,137797.74
SHREDIGCEM,137597.14
AWHCL,137482.89
NELCAST,137374.89
OMAXE,136992.50
MANALIPETC,136395.39
HEUBACHIND,136044.12
INDORAMA,136039.95
COFFEEDAY,134989.85
OAL,134681.61
AVADHSUGAR,133823.14
DCMSRIND,133359.02
TEXINFRA,133288.21
RML,133155.61
REFEX,133155.36
ROTO,132226.04
GULPOLY,131882.61
MARINE,131638.29
SASTASUNDR,130486.67
RAMRAT,130306.00
SATINDLTD,130160.84
BLISSGVS,130132.94
SOLARA,130000.52
ATL,129113.00
MATRIMONY,129032.76
GMBREW,128948.04
STERTOOLS,128588.42
SHALPAINTS,128329.48
CLSEL,127859.47
INDIANHUME,127858.66
TVTODAY,127780.34
REPRO,125887.62
IMPAL,125736.00
STEELCAS,124496.24
HESTERBIO,124021.58
JYOTISTRUC,122781.11
